"","identifier","relation.liesWithin","relation.isRecordedIn","potteryGroup","vesselForm","dating.min","dating.max","dating.source"
"1","MK73.D2.KUN1378","MK73.D2","MK73.D","Rotfigurige Keramik","Krater",-425,-400,"Kunisch 2016, Nr. 1378"
"2","MK73.O13.KUN1316","MK73.O13","MK73.O","Rotfigurige Keramik","Krater",-450,-425,"Kunisch 2016, Nr. 1316"
"3","MK75.Y9.KUN1330","MK75.Y9","MK75.Y","Rotfigurige Keramik","Krater",-460,-440,"Kunisch 2016, Nr. 1330"
"4","MK73.F5.KUN1343","MK73.F5","MK73.F","Rotfigurige Keramik","Krater",-450,-425,"Kunisch 2016, Nr. 1343"
"5","MK75.C11.KUN228","MK75.C11","MK75.C","Schwarzfigurige Keramik","Lekanis",-550,-525,"Kunisch 2016, Nr. 228"
"6","MK75.Y6.KUN1311","MK75.Y6","MK75.Y","Rotfigurige Keramik","Krater",-475,-450,"Kunisch 2016, Nr. 1311"
"7","MK73.O5-6.KUN234","MK73.O5-6","MK73.O","Schwarzfigurige Keramik","Lekanis",-500,-300,"Kunisch 2016, Nr. 234"
"8","MK73.D4.KUN.1486","MK73.D4","MK73.D","Rotfigurige Keramik","Lekanis",-425,-400,"Kunisch 2016, Nr. .1486"
"9","MK78.B15.KUN1322","MK78.B15","MK78.B","Rotfigurige Keramik","Amphora",-450,-425,"Kunisch 2016, Nr. 1322"
"10","MK73.F3.KUN1484","MK73.F3","MK73.F","Rotfigurige Keramik","Lekanis",-425,-400,"Kunisch 2016, Nr. 1484"
"11","MK75.Z14.KUN1416","MK75.Z14","MK75.Z","Rotfigurige Keramik","Krater",-450,-400,"Kunisch 2016, Nr. 1416"
"12","MK75.Z2-4-5.KUN1435","MK75.Z2-4-5","MK75.Z","Rotfigurige Keramik","Hydria",-425,-375,"Kunisch 2016, Nr. 1435"
"13","MK75.Y18.KUN1367","MK75.Y18","MK75.Y","Rotfigurige Keramik","Krater",-425,-400,"Kunisch 2016, Nr. 1367"
"14","MK77.K4.KUN39","MK77.K4","MK77.K","Schwarzfigurige Keramik","Amphora",-525,-500,"Kunisch 2016, Nr. 39"
"15","MK73.E.KUN1451",NA,"MK73.E","Rotfigurige Keramik","Kanne",-425,-400,"Kunisch 2016, Nr. 1451"
"16","MK77.Y32.KUN1425","MK77.Y32","MK77.Y","Rotfigurige Keramik","Krater",-425,-375,"Kunisch 2016, Nr. 1425"
"17","MK75.D2.KUN.1482","MK75.D2","MK75.D","Rotfigurige Keramik","Lekanis",-420,-400,"Kunisch 2016, Nr. .1482"
"18","MK75.Y17.KUN1533","MK75.Y17","MK75.Y","Rotfigurige Keramik","Skyphos",-400,-375,"Kunisch 2016, Nr. 1533"
"19","MK75.Z15.KUN275","MK75.Z15","MK75.Z","Schwarzfigurige Keramik","Skyphos",-525,-475,"Kunisch 2016, Nr. 275"
"20","MK75.Y16.KUN1355","MK75.Y16","MK75.Y","Rotfigurige Keramik","Krater",-450,-425,"Kunisch 2016, Nr. 1355"
"21","MK73.H3.KUN1302","MK73.H3","MK73.H","Rotfigurige Keramik","Krater",-475,-450,"Kunisch 2016, Nr. 1302"
"22","MK75.W15.KUN1505","MK75.W15","MK75.W","Rotfigurige Keramik","Lekanis",-360,-340,"Kunisch 2016, Nr. 1505"
"23","MK77.K1.KUN1350","MK77.K1","MK77.K","Rotfigurige Keramik","Krater",-450,-425,"Kunisch 2016, Nr. 1350"
"24","MK75.Z14.KUN1475","MK75.Z14","MK75.Z","Rotfigurige Keramik","Askos",-400,-375,"Kunisch 2016, Nr. 1475"
"25","MK73.A3.KUN1327","MK73.A3","MK73.A","Rotfigurige Keramik","Krater",-500,-450,"Kunisch 2016, Nr. 1327"
"26","MK75.V10.KUN1405","MK75.V10","MK75.V","Rotfigurige Keramik","Krater",-460,-440,"Kunisch 2016, Nr. 1405"
"27","MK73.F8.KUN1515","MK73.F8","MK73.F","Rotfigurige Keramik","Skyphos",-460,-440,"Kunisch 2016, Nr. 1515"
"28","MK73.H2.KUN1420","MK73.H2","MK73.H","Rotfigurige Keramik","Krater",-450,-400,"Kunisch 2016, Nr. 1420"
"29","MK73.A1.KUN1413","MK73.A1","MK73.A","Rotfigurige Keramik","Krater",-450,-400,"Kunisch 2016, Nr. 1413"
"30","MK73.N3.KUN1362","MK73.N3","MK73.N","Rotfigurige Keramik","Krater",-430,-420,"Kunisch 2016, Nr. 1362"
"31","MK77.K5.KUN1340","MK77.K5","MK77.K","Rotfigurige Keramik","Krater",-450,-425,"Kunisch 2016, Nr. 1340"
"32","MK75.N6.KUN1452","MK75.N6","MK75.N","Rotfigurige Keramik","Kanne",-450,-400,"Kunisch 2016, Nr. 1452"
